x [m];Real Chord [m];Lift Load[N/m];cm ac;Lift Load[N/m];cm ac;Lift Load[N/m];cm ac
0;0.38;45.89494101;-0.21276698;76.24643536;-0.205719028;30.05264516;-0.221870902
0.005282609;0.38;45.89494101;-0.21276698;76.24643536;-0.205719028;30.05264516;-0.221848717
0.010565217;0.38;45.89494101;-0.21276698;76.24643536;-0.205719028;30.05264516;-0.221826535
0.015847826;0.38;45.89494101;-0.21276698;76.24643536;-0.205719028;30.05264516;-0.221804354
0.021130435;0.38;45.89494101;-0.21276698;76.24643536;-0.205719028;30.05264516;-0.221782176
0.026413043;0.38;45.89494101;-0.21276698;76.24443815;-0.205719028;30.05264516;-0.22176
0.031695652;0.38;45.89494101;-0.21276698;76.24044374;-0.205715114;30.05264516;-0.22175
0.036978261;0.38;45.89315453;-0.21276698;76.23644934;-0.205711199;30.05160292;-0.221737916
0.04226087;0.38;45.88958158;-0.212759504;76.23245493;-0.205707285;30.04951843;-0.221729954
0.047543478;0.38;45.88600863;-0.212752028;76.22846052;-0.20570337;30.04743394;-0.221721991
0.052826087;0.38;45.88243568;-0.212744552;76.22446611;-0.205699456;30.04534945;-0.221714029
0.058108696;0.38;45.87886273;-0.212737076;76.2204717;-0.205695541;30.04326496;-0.221706067
0.063391304;0.38;45.87528978;-0.212729599;76.21647729;-0.205691627;30.04118047;-0.221698104
0.068673913;0.38;45.87171682;-0.212722123;76.21066148;-0.205687713;30.03909598;-0.221690142
0.073956522;0.38;45.86814387;-0.212714647;76.20280963;-0.205679959;30.03701149;-0.221682179
0.07923913;0.38;45.86457092;-0.212707171;76.19474315;-0.205671752;30.034927;-0.221674217
0.084521739;0.38;45.86099797;-0.212699695;76.18667668;-0.205663545;30.03284251;-0.221666255
0.089804348;0.38;45.85742502;-0.212692219;76.1786102;-0.205655339;30.03075802;-0.221658292
0.095086957;0.38;45.85385207;-0.212684742;76.17054373;-0.205647132;30.02867353;-0.22165033
0.100369565;0.38;45.84996017;-0.212677266;76.16247725;-0.205638926;30.02640212;-0.221642367
0.105652174;0.38;45.84424789;-0.212668224;76.15441077;-0.205630719;30.02306389;-0.221632775
0.110934783;0.38;45.83703419;-0.212651812;76.14601338;-0.205622513;30.01884574;-0.221615511
0.116217391;0.38;45.82982049;-0.212635401;76.13551686;-0.205613516;30.0146276;-0.221598247
0.1215;0.38;45.82260679;-0.212618989;76.12325215;-0.205600296;30.01040946;-0.221580983
0.126782609;0.38;45.81539309;-0.212602577;76.11098744;-0.205587077;30.00619132;-0.221563719
0.132065217;0.38;45.80817939;-0.212586165;76.09872272;-0.205573857;30.00197318;-0.221546455
0.137347826;0.38;45.80096569;-0.212569753;76.08645801;-0.205560637;29.99775504;-0.22152919
0.142630435;0.38;45.79375199;-0.212553341;76.0741933;-0.205547417;29.9935369;-0.221511926
0.147913043;0.38;45.78653829;-0.212536929;76.06192859;-0.205534198;29.98931876;-0.221494662
0.153195652;0.38;45.77932459;-0.212520517;76.04966387;-0.205520978;29.98510062;-0.221477398
0.158478261;0.38;45.77211089;-0.212504105;76.03647012;-0.205507758;29.98088248;-0.221460134
0.16376087;0.38;45.76489719;-0.212487693;76.02106802;-0.205491914;29.97666434;-0.22144287
0.169043478;0.38;45.75673586;-0.212471281;76.00438662;-0.205472457;29.971887;-0.221425606
0.174326087;0.38;45.74668503;-0.212448802;75.98770521;-0.205452999;29.96599467;-0.221402216
0.179608696;0.38;45.73569235;-0.212420293;75.97102381;-0.205433541;29.95954656;-0.221372739
0.184891304;0.38;45.72469966;-0.212391784;75.9543424;-0.205414084;29.95309845;-0.221343261
0.190173913;0.38;45.71370698;-0.212363275;75.937661;-0.205394626;29.94665033;-0.221313784
0.195456522;0.38;45.7027143;-0.212334766;75.92097959;-0.205375168;29.94020222;-0.221284306
0.20073913;0.38;45.69172161;-0.212306257;75.90429819;-0.205355711;29.93375411;-0.221254828
0.206021739;0.38;45.68072893;-0.212277748;75.88600395;-0.205336253;29.927306;-0.221225351
0.211304348;0.38;45.66973625;-0.212249239;75.86535094;-0.20531131;29.92085789;-0.221195873
0.216586957;0.38;45.65874356;-0.21222073;75.843952;-0.205283829;29.91440977;-0.221166396
0.221869565;0.38;45.64775088;-0.212192221;75.82255306;-0.205256348;29.90796166;-0.221136918
0.227152174;0.38;45.63675819;-0.212163712;75.80115412;-0.205228867;29.90151355;-0.221107441
0.232434783;0.38;45.62451519;-0.212135203;75.77975519;-0.205201386;29.8943192;-0.221077963
0.237717391;0.38;45.61028149;-0.21209571;75.75835625;-0.205173905;29.88593672;-0.22103769
0.243;0.38;45.59530739;-0.212049712;75.73695731;-0.205146424;29.87711235;-0.220991024
0.248282609;0.38;45.5803333;-0.212003713;75.71555837;-0.205118943;29.86828798;-0.220944358
0.253565217;0.38;45.56535921;-0.211957715;75.69173997;-0.205091462;29.85946361;-0.220897692
0.258847826;0.38;45.55038511;-0.211911717;75.6653662;-0.205053902;29.85063924;-0.220851026
0.264130435;0.38;45.53541102;-0.211865719;75.6388565;-0.205015777;29.84181487;-0.220804361
0.269413043;0.38;45.52043692;-0.211819721;75.6123468;-0.204977651;29.83299049;-0.220757695
0.274695652;0.38;45.50546283;-0.211773723;75.5858371;-0.204939526;29.82416612;-0.220711029
0.279978261;0.38;45.49048874;-0.211727725;75.5593274;-0.2049014;29.81534175;-0.220664363
0.28526087;0.38;45.47551464;-0.211681727;75.53281771;-0.204863275;29.80651738;-0.220617697
0.290543478;0.38;45.4587228;-0.211635729;75.50630801;-0.204825149;29.79659212;-0.220571031
0.295826087;0.38;45.43978535;-0.211567859;75.479207;-0.204787024;29.7853674;-0.220503248
0.301108696;0.38;45.42052003;-0.211496044;75.44928854;-0.204745879;29.77394412;-0.220431656
0.306391304;0.38;45.40125472;-0.211424229;75.41714395;-0.204693366;29.76252083;-0.220360063
0.311673913;0.38;45.3819894;-0.211352414;75.38499937;-0.204640853;29.75109755;-0.220288471
0.316956522;0.38;45.36272408;-0.211280599;75.35285478;-0.204588341;29.73967426;-0.220216879
0.32223913;0.38;45.34345876;-0.211208784;75.3207102;-0.204535828;29.72825098;-0.220145287
0.327521739;0.38;45.32419344;-0.211136969;75.28856561;-0.204483315;29.71682769;-0.220073695
0.332804348;0.38;45.30492813;-0.211065154;75.25642102;-0.204430803;29.70540441;-0.220002103
0.338086957;0.38;45.28464116;-0.210993339;75.22427644;-0.20437829;29.6933424;-0.219930511
0.343369565;0.38;45.26194672;-0.21090538;75.19064444;-0.204325777;29.67977526;-0.219843406
0.348652174;0.38;45.23786647;-0.210795521;75.15386743;-0.204263873;29.66534173;-0.219735257
0.353934783;0.38;45.21378621;-0.210685662;75.11543282;-0.204191502;29.65090819;-0.219627109
0.359217391;0.38;45.18970596;-0.210575803;75.07699821;-0.204119131;29.63647466;-0.219518961
0.3645;0.38;45.1656257;-0.210465944;75.0385636;-0.20404676;29.62204112;-0.219410813
0.369782609;0.38;45.14154545;-0.210356085;75.00012899;-0.20397439;29.60760758;-0.219302665
0.375065217;0.38;45.11746519;-0.210246226;74.96169438;-0.203902019;29.59317405;-0.219194517
0.380347826;0.38;45.0915864;-0.210136368;74.92325977;-0.203829648;29.57755299;-0.219086369
0.385630435;0.38;45.06266744;-0.209993616;74.88482516;-0.203757277;29.55992458;-0.218946184
0.390913043;0.38;45.03250683;-0.209828157;74.84375965;-0.203684907;29.54147636;-0.218783882
0.396195652;0.38;45.00234623;-0.209662698;74.79911952;-0.20359188;29.52302813;-0.21862158
0.401478261;0.38;44.97218562;-0.209497239;74.75353565;-0.203491445;29.50457991;-0.218459278
0.40676087;0.38;44.94202501;-0.20933178;74.70795179;-0.203391009;29.48613168;-0.218296976
0.412043478;0.38;44.90909989;-0.209166321;74.66236792;-0.203290573;29.46570639;-0.218134674
0.417326087;0.38;44.8710719;-0.208957769;74.61678405;-0.203190137;29.44163175;-0.217927687
0.422608696;0.38;44.83070556;-0.208712767;74.57120019;-0.203089702;29.41588482;-0.217682904
0.427891304;0.38;44.79033921;-0.208467765;74.52561632;-0.202989266;29.39013789;-0.21743812
0.433173913;0.38;44.74379757;-0.208222763;74.48003245;-0.20288883;29.35976103;-0.217193337
0.438456522;0.38;44.68268569;-0.207926677;74.43029556;-0.202788395;29.31846015;-0.216885463
0.44373913;0.38;44.62802202;-0.207561145;74.37640172;-0.202646874;29.27936516;-0.216491821
0.449021739;0.38;44.57756838;-0.207357087;74.25662252;-0.202505314;29.23938784;-0.216261959
0.454304348;0.379326316;44.51643372;-0.207467603;74.0711052;-0.202363754;29.1900215;-0.216351169
0.459586957;0.378652632;44.45523519;-0.207578118;73.88577899;-0.202222195;29.14064622;-0.216440379
0.464869565;0.377978947;44.39397279;-0.207688634;73.70064388;-0.202080635;29.09126199;-0.216529588
0.470152174;0.377305263;44.32921224;-0.20779915;73.51569988;-0.201939075;29.04121287;-0.216618798
0.475434783;0.376631579;44.26046451;-0.207895321;73.33094699;-0.201797516;28.99040548;-0.216678096
0.480717391;0.375957895;44.19117274;-0.207989368;73.14508937;-0.201655956;28.93949742;-0.216732968
0.486;0.375284211;44.12184528;-0.208083416;72.95449244;-0.20149772;28.8885858;-0.216787839
0.491282609;0.374610526;44.05248214;-0.208177463;72.76047398;-0.201292533;28.83767061;-0.216842711
0.496565217;0.373936842;43.98308332;-0.20827151;72.5666821;-0.201087347;28.78675186;-0.216897582
0.501847826;0.373263158;43.91364881;-0.208365557;72.37311679;-0.20088216;28.73582955;-0.216952454
0.507130435;0.372589474;43.84417862;-0.208459605;72.17977805;-0.200676974;28.68490367;-0.217007325
0.512413043;0.371915789;43.77139983;-0.208553652;71.98666589;-0.200471787;28.63200401;-0.217062197
0.517695652;0.371242105;43.69527557;-0.208591137;71.7937803;-0.200266601;28.57710839;-0.217064235
0.522978261;0.370568421;43.61908498;-0.208627676;71.60112128;-0.200061415;28.52219075;-0.217065388
0.52826087;0.369894737;43.54288284;-0.208664215;71.40543661;-0.199856228;28.46728407;-0.217066542
0.533543478;0.369221053;43.46666914;-0.208700753;71.20380895;-0.199595092;28.41238836;-0.217067696
0.538826087;0.368547368;43.3904439;-0.208737292;70.99951256;-0.19928337;28.35750361;-0.21706885
0.544108696;0.367873684;43.3142071;-0.208773831;70.79548789;-0.198971648;28.30262982;-0.217070003
0.549391304;0.3672;43.23770484;-0.20881037;70.59173496;-0.198659926;28.24763102;-0.217071157
0.554673913;0.366526316;43.15855237;-0.208843822;70.38825375;-0.198348204;28.1912301;-0.217069629
0.559956522;0.365852632;43.07701721;-0.208848222;70.18504428;-0.198036482;28.13357035;-0.217042853
0.56523913;0.365178947;42.99548993;-0.208852621;69.98210653;-0.197724761;28.07593196;-0.217016076
0.570521739;0.364505263;42.91397052;-0.20885702;69.77944052;-0.197413039;28.01831494;-0.216989299
0.575804348;0.363831579;42.83245899;-0.20886142;69.56939151;-0.197101317;27.96071928;-0.216962523
0.581086957;0.363157895;42.75095533;-0.208865819;69.34994921;-0.196936427;27.90314498;-0.216935746
0.586369565;0.362484211;42.66945954;-0.208870219;69.12879395;-0.196810989;27.84559205;-0.21690897
0.591652174;0.361810526;42.58757068;-0.208874618;68.90798242;-0.196685551;27.78789947;-0.216882193
0.596934783;0.361136842;42.50377189;-0.2088747;68.68751461;-0.196560113;27.72945808;-0.216852091
0.602217391;0.360463158;42.41847338;-0.208858396;68.46739053;-0.196434675;27.67043262;-0.216809366
0.6075;0.359789474;42.33319707;-0.208842092;68.24761016;-0.196309237;27.61143427;-0.21676664
0.612782609;0.359115789;42.24794297;-0.208825788;68.02817353;-0.196183799;27.55246305;-0.216723914
0.618065217;0.358442105;42.16271108;-0.208809483;67.77827069;-0.19605836;27.49351895;-0.216681188
0.623347826;0.357768421;42.07750139;-0.208793179;67.49349547;-0.196227153;27.43460197;-0.216638463
0.628630435;0.357094737;41.99231392;-0.208776875;67.20474163;-0.196439768;27.37571211;-0.216595737
0.633913043;0.356421053;41.90675004;-0.208760571;66.9165979;-0.196652382;27.31680386;-0.216553011
0.639195652;0.355747368;41.81997041;-0.208739273;66.62906426;-0.196864997;27.25778135;-0.216507144
0.644478261;0.355073684;41.73237918;-0.208707413;66.34214072;-0.197077611;27.19869074;-0.216454631
0.64976087;0.3544;41.64481955;-0.208675552;66.05582727;-0.197290225;27.13962833;-0.216402117
0.655043478;0.353726316;41.55729153;-0.208643692;65.765351;-0.19750284;27.08059411;-0.216349604
0.660326087;0.353052632;41.46979511;-0.208611831;65.46932911;-0.197650987;27.02158809;-0.216297091
0.665608696;0.352378947;41.3823303;-0.208579971;65.17255171;-0.197780052;26.96261027;-0.216244577
0.670891304;0.351705263;41.29489709;-0.208548111;64.87643157;-0.197909116;26.90366064;-0.216192064
0.676173913;0.351031579;41.2060782;-0.20851625;64.58096869;-0.198038181;26.84405077;-0.216139551
0.681456522;0.350357895;41.11403297;-0.208477619;64.28616309;-0.198167246;26.78288659;-0.216083306
0.68673913;0.349684211;41.02019207;-0.208430139;63.99201475;-0.19829631;26.72086304;-0.216022184
0.692021739;0.349010526;40.92640791;-0.208382659;63.6936649;-0.198425375;26.65887988;-0.215961062
0.697304348;0.348336842;40.83268047;-0.208335179;63.38878374;-0.198507873;26.59693712;-0.21589994
0.702586957;0.347663158;40.73900976;-0.208287698;63.08225314;-0.198567729;26.53503477;-0.215838818
0.707869565;0.346989474;40.64539579;-0.208240218;62.77643561;-0.198627584;26.47317281;-0.215777696
0.713152174;0.346315789;40.55183854;-0.208192738;62.47133116;-0.19868744;26.41135125;-0.215716574
0.718434783;0.345642105;40.45578021;-0.208145258;62.16693979;-0.198747295;26.34817543;-0.215655452
0.723717391;0.344968421;40.35511275;-0.208086108;61.86326149;-0.198807151;26.28249592;-0.215587194
0.729;0.344294737;40.2524114;-0.208017252;61.5555177;-0.198867006;26.2157169;-0.215513
0.734282609;0.343621053;40.14980335;-0.207948396;61.24019803;-0.19888882;26.14899821;-0.215438807
0.739565217;0.342947368;40.04728859;-0.207879541;60.92211125;-0.198882411;26.08233985;-0.215364614
0.744847826;0.342273684;39.94486712;-0.207810685;60.60480277;-0.198876001;26.01574183;-0.215290421
0.750130435;0.3416;39.84253894;-0.20774183;60.28827258;-0.198869592;25.94920414;-0.215216228
0.755413043;0.340926316;39.74030404;-0.207672974;59.97252068;-0.198863182;25.88272679;-0.215142035
0.760695652;0.340252632;39.63447036;-0.207604119;59.65754707;-0.198856773;25.81426028;-0.215067842
0.765978261;0.339578947;39.52314837;-0.207512649;59.33867899;-0.198850363;25.74275575;-0.214977529
0.77126087;0.338905263;39.41004885;-0.207409448;59.01079625;-0.198808092;25.67027305;-0.214878854
0.776543478;0.338231579;39.29708707;-0.207306247;58.67861165;-0.198726232;25.59787537;-0.214780179
0.781826087;0.337557895;39.18426304;-0.207203046;58.34728344;-0.198644373;25.52556269;-0.214681504
0.787108696;0.336884211;39.07157676;-0.207099845;58.0168116;-0.198562514;25.45333502;-0.21458283
0.792391304;0.336210526;38.95902821;-0.206996644;57.68719615;-0.198480654;25.38119237;-0.214484155
0.797673913;0.335536842;38.84661741;-0.206893443;57.35843708;-0.198398795;25.30913472;-0.21438548
0.802956522;0.334863158;38.72887875;-0.206790242;57.02587815;-0.198316936;25.23403359;-0.214286805
0.80823913;0.334189474;38.60422432;-0.20664214;56.68185349;-0.198196901;25.15498006;-0.214152416
0.813521739;0.333515789;38.47814057;-0.206480695;56.33107531;-0.198013658;25.07511456;-0.214007415
0.818804348;0.332842105;38.35225168;-0.206319249;55.98125313;-0.197830415;24.99536676;-0.213862413
0.824086957;0.332168421;38.22655764;-0.206157804;55.63238693;-0.197647172;24.91573666;-0.213717412
0.829369565;0.331494737;38.10105845;-0.205996359;55.28447673;-0.197463929;24.83622426;-0.21357241
0.834652174;0.330821053;37.97575412;-0.205834914;54.93752253;-0.197280685;24.75682956;-0.213427409
0.839934783;0.330147368;37.85064465;-0.205673468;54.58641899;-0.197097442;24.67755256;-0.213282407
0.845217391;0.329473684;37.71738762;-0.205512023;54.21795064;-0.196867732;24.59341723;-0.213137406
0.8505;0.3288;37.57493551;-0.205259152;53.8373146;-0.196517206;24.50379874;-0.212913948
0.855782609;0.328126316;37.43165454;-0.204994215;53.45778472;-0.19616668;24.41368733;-0.212680136
0.861065217;0.327452632;37.28864574;-0.204729277;53.079361;-0.195816155;24.32373974;-0.212446324
0.866347826;0.326778947;37.14590911;-0.20446434;52.70204345;-0.195465629;24.23395597;-0.212212511
0.871630435;0.326105263;37.00344465;-0.204199402;52.32583206;-0.195115103;24.14433601;-0.211978699
0.876913043;0.325431579;36.86125236;-0.203934465;51.95187998;-0.194764577;24.05487987;-0.211744887
0.882195652;0.324757895;36.71933224;-0.203669528;51.58545772;-0.194452304;23.96558755;-0.211511074
0.887478261;0.324084211;36.56401499;-0.20340459;51.22537685;-0.194315466;23.86776811;-0.211277262
0.89276087;0.323410526;36.39532957;-0.202936259;50.86634874;-0.194178628;23.76143997;-0.210857228
0.898043478;0.322736842;36.22697409;-0.202467088;50.50837339;-0.19404179;23.65531237;-0.210436424
0.903326087;0.322063158;36.05900502;-0.201997917;50.15145082;-0.193904952;23.54942122;-0.21001562
0.908608696;0.321389474;35.89142237;-0.201528745;49.79558101;-0.193768114;23.44376653;-0.209594816
0.913891304;0.320715789;35.72422614;-0.201059574;49.44076396;-0.193631276;23.3383483;-0.209174013
0.919173913;0.320042105;35.55741633;-0.200590403;49.08699968;-0.193494438;23.23316652;-0.208753209
0.924456522;0.319368421;35.39271755;-0.200121231;48.73428816;-0.1933576;23.12848876;-0.208332405
0.92973913;0.318694737;35.24427975;-0.199663991;48.36866001;-0.193220762;23.02651022;-0.20791833
0.935021739;0.318021053;35.11028476;-0.199304925;47.95934149;-0.193078069;22.92694885;-0.207559621
0.940304348;0.317347368;34.97654175;-0.198945859;47.52052791;-0.192922414;22.82760307;-0.207200911
0.945586957;0.316673684;34.84305074;-0.198586793;47.08314713;-0.192766758;22.72847289;-0.206842202
0.950869565;0.316;34.63029443;-0.198227727;46.54033431;-0.192611103;22.57771589;-0.206483493
0.956152174;0.31388;34.33867857;-0.19786866;45.89439649;-0.192455447;22.37567921;-0.206124784
0.961434783;0.31176;34.04785569;-0.197509594;45.2529675;-0.192299792;22.174321;-0.205766075
0.966717391;0.30964;33.75782577;-0.197150528;44.61604735;-0.192144137;21.97364125;-0.205407366
0.972;0.30752;33.46869855;-0.196791462;43.98363604;-0.191988481;21.77707809;-0.205048656
0.977282609;0.3054;33.18047348;-0.196824812;43.35573357;-0.191832826;21.58461485;-0.205073042
0.982565217;0.30328;32.89304005;-0.19686445;42.73233993;-0.19167717;21.39278851;-0.205103566
0.987847826;0.30116;32.60639651;-0.196904087;42.11345513;-0.191521515;21.20154397;-0.205134089
0.993130435;0.29904;32.32054286;-0.196943725;41.49907916;-0.19136586;21.01088124;-0.205164613
0.998413043;0.29692;32.03547909;-0.196983362;40.84277243;-0.191210204;20.82080031;-0.205195136
1.003695652;0.2948;31.75120521;-0.197023;40.14511351;-0.190666655;20.6313012;-0.20522566
1.008978261;0.29268;31.46772122;-0.197062637;39.45288384;-0.190119575;20.44238389;-0.205256183
1.01426087;0.29056;31.16799438;-0.197102275;38.76650618;-0.189572494;20.24405672;-0.205286707
1.019543478;0.28844;30.84218713;-0.19699267;38.08598054;-0.189025414;20.03054884;-0.205188547
1.024826087;0.28632;30.50768292;-0.196792929;37.41130692;-0.188478334;19.81205763;-0.205012667
1.030108696;0.2842;30.17476884;-0.196593188;36.7424853;-0.187931253;19.59461766;-0.204836787
1.035391304;0.28208;29.84344491;-0.196393447;36.07951571;-0.187384173;19.37822895;-0.204660908
1.040673913;0.27996;29.5137111;-0.196193707;35.42239813;-0.186837092;19.16289147;-0.204485028
1.045956522;0.27784;29.18556744;-0.195993966;34.77113256;-0.186290012;18.94860525;-0.204309148
1.05123913;0.27572;28.85901391;-0.195794225;34.12571901;-0.185742932;18.73537027;-0.204133269
1.056521739;0.2736;28.52300175;-0.195594484;33.44615106;-0.185195851;18.51654632;-0.203957389
1.061804348;0.27148;28.14700846;-0.195297113;32.70749421;-0.184222384;18.27378963;-0.203692889
1.067086957;0.26936;27.74289268;-0.194725626;31.95067444;-0.182971054;18.01422713;-0.203179567
1.072369565;0.26724;27.34167603;-0.194154138;31.20176267;-0.181719724;17.75650259;-0.202666245
1.077652174;0.26512;26.94335853;-0.193582651;30.46075889;-0.180468394;17.50061599;-0.202152923
1.082934783;0.263;26.54794018;-0.193011164;29.72766309;-0.179217064;17.24656734;-0.201639601
1.088217391;0.26088;26.15542097;-0.192439677;29.00247529;-0.177965734;16.99435664;-0.201126279
1.0935;0.25876;25.7658009;-0.19186819;28.28519548;-0.176714404;16.74398389;-0.200612958
1.098782609;0.25664;25.37907997;-0.191296702;27.57582366;-0.175463073;16.49544909;-0.200099636
1.104065217;0.25452;24.93034811;-0.190725215;26.87435984;-0.174211743;16.20876541;-0.199586314
1.109347826;0.2524;24.41423945;-0.189437683;26.10407432;-0.172960413;15.88062731;-0.198378598
1.114630435;0.25028;23.896384;-0.188072341;25.23811949;-0.170643005;15.55146509;-0.197095424
1.119913043;0.24816;23.38383537;-0.186706998;24.35460691;-0.167922199;15.22562404;-0.195812251
1.125195652;0.24604;22.87659357;-0.185341655;23.4825707;-0.165201393;14.90310416;-0.194529077
1.130478261;0.24392;22.37465861;-0.183976313;22.62201086;-0.162480587;14.58390544;-0.193245903
1.13576087;0.2418;21.87803047;-0.18261097;21.7729274;-0.159759781;14.26802789;-0.191962729
1.141043478;0.23968;21.38670917;-0.181245627;20.9353203;-0.157038974;13.9554715;-0.190679555
1.146326087;0.23756;20.81886141;-0.179880284;20.10918959;-0.154318168;13.59421968;-0.189396381
1.151608696;0.23544;20.10792269;-0.177263548;19.12386801;-0.151597362;13.14196131;-0.186821743
1.156891304;0.23332;19.33832584;-0.173585744;17.95329976;-0.145951601;12.65236535;-0.18315206
1.162173913;0.2312;18.57945802;-0.16990794;16.77053608;-0.139775116;12.16953712;-0.179482377
1.167456522;0.22908;17.83131922;-0.166230135;15.60654402;-0.133598632;11.69347663;-0.175812694
1.17273913;0.22696;17.09390945;-0.162552331;14.46132357;-0.127422147;11.22418388;-0.172143011
1.178021739;0.22484;16.36722871;-0.158874527;13.10970273;-0.121245662;10.76165886;-0.168473328
1.183304348;0.22272;15.65127699;-0.155196723;11.16725159;-0.111309746;10.30590158;-0.164803645
1.188586957;0.2206;13.70143773;-0.151518919;8.872489242;-0.094786202;9.028910668;-0.161133962
1.193869565;0.21848;10.17684678;-0.121215135;#REF!;-0.078262658;6.954673055;-0.12890717
1.199152174;0.21636;6.345165172;-0.090911351;#REF!;#REF!;4.919185739;-0.096680377
1.204434783;0.21424;2.586988383;-0.060607568;#REF!;#REF!;2.92244872;-0.064453585
1.209717391;0.21212;0.365894528;-0.030303784;#REF!;#REF!;0.964461999;-0.032226792
1.215;0.21;0;0;0;0;0;0
